node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
HOXA7,HOXA9,SRF,1.112822518526140,0.9790967841770030,3.746861474610210,3.9583809375699800,1.2295567464080100,0.2737229125736970,0.001,0.001,0.116,0.4819545898829980
HOXA7,HOXA3,HOXB6,1.0903002525183500,0.591324869559113,4.396043209283810,4.350528261601890,2.0333821220295500,0.2620892349987450,0.001,0.001,0.044,0.4826835038296960
HOXB2,HOXB3,PAX6,1.1451867527707100,0.9921675361101930,4.075035806471590,4.86073615304883,1.231295186624990,0.2897207676099390,0.001,0.001,0.904,0.4828071250976260
HOXA9,HOXA7,HOXB6,1.112822518526140,0.6277351881485900,4.323576579228640,3.890234886051700,3.694302762494810,0.301686529570008,0.001,0.001,0.001,0.48357357646739100
HOXA7,HOXA3,ERG,1.0903002525183500,0.9325481693243640,6.013725539345320,5.481887289247620,1.8283273410978900,0.312592819991099,0.001,0.001,0.049,0.48381022284464900
HOXB8,HOXB7,TET1,0.581465905969365,0.4977285030037490,3.6201841531863200,3.500819742759430,2.69548636219164,0.3149836008659610,0.001,0.002,0.01,0.4847347422783400
HOXA3,HOXA7,ELF5,1.0903002525183500,0.973127318619403,3.455592795223300,3.2904189767864800,1.3977612521010800,0.2224801430453090,0.001,0.002,0.089,0.48710126447055200
HOXA7,HOXA9,CUX2,1.112822518526140,0.906788001217392,3.193377079572930,3.3271643071126000,4.19217397144499,0.2437809051098780,0.001,0.001,0.001,0.48787933681274000
HOXB3,HOXB6,HOXA3,0.7937088283347760,0.3292761031847060,3.597352577150850,2.633468839397010,2.9260928807502800,0.2351976134262310,0.001,0.007,0.009,0.488351450549079
HOXA3,HOXA9,HOXB7,1.1386549814171800,0.7181719952489160,3.6718412283956100,3.5724795549170000,3.325067546110580,0.2852313673353810,0.001,0.001,0.004,0.4894568810776030
HOXA9,HOXA7,TCF4,1.112822518526140,0.8691664105331080,3.830402562534120,3.1295821426621600,1.5699071181476000,0.2676873558449690,0.001,0.001,0.077,0.49292298871263500
HOXA7,HOXA3,HOXB1,1.0903002525183500,0.8295289952477660,4.306403437258990,4.550889063467060,5.562381279814870,0.2632335680644890,0.001,0.001,0.001,0.4943104559703400
